dll,export,dll-hash,export-hash
kernel32.dll,BaseIsDosApplication,0xd78acaf904a2cf36,0x708ee892f6af808d
kernel32.dll,BaseQueryModuleData,0xd78acaf904a2cf36,0xf6f18ceb37cb538c
kernel32.dll,BaseReadAppCompatDataForProcessWorker,0xd78acaf904a2cf36,0x52cb017a1e6e4f9
kernel32.dll,BaseSetLastNTError,0xd78acaf904a2cf36,0x67df1f636580f49e
kernel32.dll,BaseThreadInitThunk,0xd78acaf904a2cf36,0xb729628c8b36c432
kernel32.dll,BaseUpdateAppcompatCache,0xd78acaf904a2cf36,0x11a886719b14c370
kernel32.dll,BaseUpdateAppcompatCacheWorker,0xd78acaf904a2cf36,0xa003cb4d49a0bf5b
kernel32.dll,BaseUpdateVDMEntry,0xd78acaf904a2cf36,0xeee681c3d0173541
kernel32.dll,BaseVerifyUnicodeString,0xd78acaf904a2cf36,0xf9d48396843dc777
kernel32.dll,BaseWriteErrorElevationRequiredEvent,0xd78acaf904a2cf36,0x86be287020d74327
kernel32.dll,Basep8BitStringToDynamicUnicodeString,0xd78acaf904a2cf36,0xf4e1c2638ca847f5
kernel32.dll,BasepAllocateActivationContextActivationBlock,0xd78acaf904a2cf36,0xdead5fa52db1894d
kernel32.dll,BasepAnsiStringToDynamicUnicodeString,0xd78acaf904a2cf36,0x22acc6a8a2bd20ff
kernel32.dll,BasepAppContainerEnvironmentExtension,0xd78acaf904a2cf36,0x9a181444ef56b120
kernel32.dll,BasepAppXExtension,0xd78acaf904a2cf36,0x1722a9ecca96cad
kernel32.dll,BasepCheckAppCompat,0xd78acaf904a2cf36,0x14a97b20b90ff918
kernel32.dll,BasepCheckWebBladeHashes,0xd78acaf904a2cf36,0xe3097f64c08f7c9c
kernel32.dll,BasepCheckWinSaferRestrictions,0xd78acaf904a2cf36,0xef2cee4f648a7512
kernel32.dll,BasepConstructSxsCreateProcessMessage,0xd78acaf904a2cf36,0xc2867b73c501dad6
kernel32.dll,BasepCopyEncryption,0xd78acaf904a2cf36,0xdfbd68337da5edbc
kernel32.dll,BasepFreeActivationContextActivationBlock,0xd78acaf904a2cf36,0x77e8e34d135fd22e
kernel32.dll,BasepFreeAppCompatData,0xd78acaf904a2cf36,0xf6f86ece545ea8e5
kernel32.dll,BasepGetAppCompatData,0xd78acaf904a2cf36,0x4196a02e11f842eb
kernel32.dll,BasepGetComputerNameFromNtPath,0xd78acaf904a2cf36,0xb62a5e3dbefe28d1
kernel32.dll,BasepGetExeArchType,0xd78acaf904a2cf36,0xac64bd7b0dd0bbc2
kernel32.dll,BasepInitAppCompatData,0xd78acaf904a2cf36,0x3b0e6ba887a60945
kernel32.dll,BasepIsProcessAllowed,0xd78acaf904a2cf36,0x3fac1c284ccc98d7
kernel32.dll,BasepMapModuleHandle,0xd78acaf904a2cf36,0xa6b253dfb8f5a3fa
kernel32.dll,BasepNotifyLoadStringResource,0xd78acaf904a2cf36,0x5854fc56ddda6aa7
